StateId,Year,Age_LT_1_YR,Age_1_YR,Age_2_YR,Age_3_YR,Age_4_YR,Age_5_YR,Age_6_YR,Age_7_YR,Age_8_YR,Age_0_TO_8_YR,Age_9_YR,Age_10_YR,Age_11_YR,Age_12_YR,Age_13_YR,Age_14_YR,Age_15_YR,Age_16_YR,Age_17_YR,Age_18_YR,Age_19_YR,Age_20_YR,Total,Missing,Mean,Meridian
3,2014,2.2,16.1,13.1,8.8,8.4,8.0,7.5,6.2,5.1,75.5,4.4,4.6,3.3,2.9,2.2,2.0,1.8,1.7,1.4,.1,0.0,0.0,3090,0,5.7,5.0
4,2014,4.4,15.6,13.3,9.7,9.8,6.9,7.3,4.3,4.6,75.9,5.8,3.1,3.9,2.6,2.6,2.2,1.5,1.6,.9,0.0,0.0,0.0,743,0,5.4,4.0
5,2014,2.7,16.6,15.6,12.4,9.7,8.4,6.6,5.3,4.6,81.9,3.7,3.3,2.9,2.0,1.6,1.4,1.2,.9,.9,.2,.0,.0,5470,1,4.9,4.0
6,2014,2.0,18.5,16.1,13.9,7.4,6.8,6.1,5.7,3.1,79.6,3.4,2.9,3.1,2.6,2.1,1.6,1.7,1.3,1.8,0.0,0.0,0.0,769,0,5.1,3.0
7,2014,9.5,11.7,14.2,11.1,7.1,7.3,4.0,7.1,4.3,76.3,3.4,3.0,4.7,3.6,1.8,2.0,2.6,2.0,.8,0.0,0.0,0.0,506,0,5.4,4.0
8,2014,1.2,14.3,23.8,10.7,8.3,7.1,4.8,4.8,1.2,76.2,2.4,8.3,7.1,0.0,2.4,1.2,0.0,2.4,0.0,0.0,0.0,0.0,84,0,5.0,3.5
9,2014,0.0,7.5,8.4,18.7,11.2,8.4,5.6,2.8,7.5,70.1,10.3,3.7,4.7,1.9,0.0,.9,2.8,0.0,2.8,.9,1.9,0.0,107,0,6.4,5.0
10,2014,3.9,12.6,13.3,10.7,8.4,7.2,6.4,5.9,4.9,73.2,4.7,3.4,3.7,3.0,2.7,2.1,2.4,2.3,2.4,.1,0.0,0.0,3266,1,5.9,5.0
11,2014,1.6,12.2,14.0,13.4,8.8,9.4,5.9,6.0,4.1,75.2,4.5,3.2,4.3,2.9,2.1,2.0,1.9,2.1,1.7,0.0,0.0,0.0,887,0,5.7,5.0
12,2014,3.3,11.6,24.8,8.3,7.4,7.4,6.6,5.0,6.6,81.0,4.1,1.7,2.5,.8,2.5,2.5,1.7,1.7,1.7,0.0,0.0,0.0,121,0,5.2,4.0
13,2014,2.8,13.8,10.6,6.9,7.8,10.1,6.4,7.8,7.3,73.4,7.3,4.1,2.3,2.8,2.3,2.3,.9,1.8,2.8,0.0,0.0,0.0,218,0,6.1,5.0
14,2014,.1,3.9,9.1,13.9,11.2,11.4,10.2,7.5,6.3,73.6,5.6,4.5,4.3,3.9,3.0,2.4,1.7,.6,.4,0.0,0.0,0.0,1616,0,6.3,6.0
15,2014,.9,6.8,14.7,12.5,11.3,9.9,8.6,6.1,5.9,76.7,4.7,3.5,3.8,2.7,2.8,2.2,1.4,1.4,.7,0.0,0.0,0.0,850,0,5.8,5.0
16,2014,3.5,12.8,14.0,8.9,9.0,10.0,8.2,5.4,6.6,78.4,3.9,3.2,2.7,2.8,2.2,2.2,2.2,.9,1.6,0.0,0.0,0.0,878,0,5.6,5.0
